[000:09:17;790] WASHINGTON.
[000:09:19;759] AND JIMMY KIMMEL WHOSE OWN BABY
[000:09:21;394] BOY
[000:09:24;030] NEEDS SEVERAL OPERATIONS, AND
[000:09:24;630] FOUGHT FOR OTHER FAMILIES TO
[000:09:25;665] HAVE COVERAGE IF THEY'RE IN THE
[000:09:27;767] SAME SITUATION.
[000:09:28;200] HE TWEETED SENATOR MCCAIN.
[000:09:29;735] >> Reporter: YEAH.
[000:09:31;337] KIMMEL WITH A TWEET OF PRAISE
[000:09:32;872] SAYING THANK YOU JOHN MCCAIN FOR
[000:09:36;008] BEING A HERO AGAIN AND AGAIN AND
[000:09:36;642] NOW AGAIN.
[000:09:39;645] AND JOHN MCCAIN'S WIFE RESPONDED
[000:09:40;680] TWEETING THANK YOU FOR THE KIND
[000:09:42;782] WORDS ABOUT MY HUSBAND AND GOD
[000:09:43;416] BLESS YOUR SWEET BABY.
[000:09:43;883] DAVID.
[000:09:48;454] >> AS WE HEAD INTO THE WEEKEND,
[000:09:49;088] MARY THANK YOU AGAIN.
[000:09:51;090] MEANTIME NEXT TO THE NEW THREAT
[000:09:51;724] FROM NORTH KOREA.
[000:09:53;693] KIM JONG-UN SAYING PRESIDENT
[000:09:55;227] TRUMP WILL QUOTE, PAY DEARLY FOR
[000:09:56;262] HIS SPEECH AT THE U.N.
[000:09:58;864] AND NORTH KOREA WARNING OF THE
[000:10:01;467] BIGGEST EVER HYDROGEN BOMB TEST
[000:10:02;101] IN THE PACIFIC.
[000:10:05;137] HERE'S MARTHA RADDATZ TONIGHT.
[000:10:08;774] >> TONIGHT A DRAMATIC ESCALATION
[000:10:09;408] OF TENSIONS.
[000:10:12;411] NORTH KOREA NOW THREATENING TO
[000:10:14;513] TEST A HYDROGEN BOMB ABOVE THE
[000:10:15;147] PACIFIC OCEAN.
[000:10:18;751] THEIR RESPONSE TO PRESIDENT
[000:10:19;318] TRUMP.
[000:10:20;753] >> THE UNITED STATES HAS GREAT
[000:10:23;889] STRENGTH AND PATIENCE, BUT IF IT
[000:10:24;890] IS FORCED TO DEFEND ITSELF OR
[000:10:27;493] ITS ALLIES, WE WILL HAVE NO OIC
[000:10:30;196] NORTH KOREA.
[000:10:33;466] >> Reporter: FOR MONTHS, THE
[000:10:36;335] PRESIDENT'S HEATED LANGUAGE HAS
[000:10:36;969] SO FAR FAILED TO STOP KIM.
[000:10:38;971] 3 MISSILE TESTS AND AN
[000:10:41;574] UNDERGROUND H-BOMB TEST SINCE
[000:10:42;575] TRUMP WARNED OF FIRE AND FURY.
[000:10:45;678] BUT DETONATING A NUCLEAR BOMB
[000:10:47;780] OVER THE PACIFIC WOULD BE KIM'S
[000:10:49;849] MOST PROVOCATIVE MOVE YET.
[000:10:51;951] >> A HYDROGEN BOMB, A THERMO
[000:10:55;054] NUCLEAR WEAPON IS GOING TO HAVE
[000:10:55;688] A LOT OF RADIATION.
[000:10:56;689] IF IT HITS THE WATER, THERE IS
[000:10:57;657] GOING TO BE CONTAMINATION FOR
[000:10:58;257] HUNDREDS OF MILES AROUND.
[000:11:03;396] >> Reporter: ON "GMA" DAVID
[000:11:06;565] CONTINUED TO PRESS SECRETARY OF
[000:11:07;199] STATE REX TILLERSON ABOUT THE US
[000:11:07;833] RESPONSE.
[000:11:09;168] >> BUT IF WE SEE THIS DETONATION
[000:11:10;202] OF AN H-BOMB IN THE PACIFIC,
[000:11:10;803] WHAT WILL THE U.S. DO?
[000:11:13;305] >> WELL, WE WILL CONTINUE OUR
[000:11:15;975] EFFORTS IN THE DIPLOMATIC ARENA
[000:11:17;476] BUT ALL OUR MILITARY OPTIONS, AS
[000:11:18;511] THE PRESIDENT HAS SAID, ARE ON
[000:11:19;145] THE TABLE.
[000:11:20;079] >> Reporter: THE TWO LEADERS
[000:11:22;148] THEMSELVES, TRADING A VOLLEY OF
[000:11:22;782] INSULTS.
[000:11:26;318] RESPONDING DIRECTLY TO TRUMP,
[000:11:28;354] CALLING HIM "MENTALLY DERANGED."
[000:11:31;490] THE PRESIDENT BRANDING THE NORTH
[000:11:33;592] KOREAN DICTATOR "A MADMAN" WHO
[000:11:37;229] "WILL BE TESTED LIKE NEVER
[000:11:37;797] BEFORE."
