[000:11:32;024] THE PRESIDENT ALSO
[000:11:32;758] CRITICIZED THE NFL FOR
[000:11:35;161] GIVING PENALTIES FOR
[000:11:36;195] HARD HITS.
[000:11:37;229] >> THEY'RE RUINING THE
[000:11:38;264] GAME.
[000:11:39;298] >> YOU HAVE MOTHERS,
[000:11:40;866] FATHERS ALL OVER THE
[000:11:41;634] COUNTRY SAYING, WE
[000:11:42;435] DON'T WANT OUR KIDS TO
[000:11:43;202] PLAY FOOTBALL.
[000:11:44;003] AND DONALD TRUMP WANTS
[000:11:45;037] TO GO BACK INTO THE
[000:11:46;605] TIME WHEN IT WAS THE
[000:11:47;373] ROMAN GLADIATORS.
[000:11:48;674] >> Reporter: DONALD
[000:11:49;709] TRUMP USING RALLIES TO
[000:11:50;743] RANT AGAINST OPPONENTS
[000:11:51;510] IS NOTHING NEW.
[000:11:58;551] PROFESSIONAL SPORTS,
[000:11:59;318] NOW THE LATEST
[000:11:59;985] POLITICAL FOOTBALL.
[000:12:00;720] KRISTEN DAHLGREN, NBC
[000:12:01;487] NEWS, LOS ANGELES.
[000:12:02;188] >>> HUNDREDS OF
[000:12:02;855] THOUSANDS OF PEOPLE
[000:12:03;589] HAVE SIGNED A PETITION
[000:12:04;356] CALLING ON LONDON TO
[000:12:05;124] REVERSE ITS DECISION
[000:12:06;392] TO SHUT DOWN UBER IN
[000:12:07;159] THE CITY.
[000:12:07;727] THE MAYOR OF LONDON
[000:12:08;461] DEFENDED THE MOVE
[000:12:09;495] TODAY AND SAID THE
[000:12:10;229] ANGER SHOULD BE
[000:12:11;063] DIRECTED AT UBER
[000:12:13;666] ITSELF.
[000:12:14;700] LUCY KAFANOV HAS
[000:12:15;401] DETAILS.
[000:12:25;077] >> Reporter: SHE'S ONE
[000:12:25;845] OF 40,000 LONDON UBER
[000:12:26;612] DRIVERS WHOSE FUTURE
[000:12:27;379] IS NOW IN FLUX.
[000:12:28;047] HOW IMPORTANT IS UBER
[000:12:28;814] TO YOUR LIVELIHOOD?
[000:12:29;548] >> EXTREMELY
[000:12:30;182] IMPORTANT.
[000:12:30;783] >> Reporter: THE
[000:12:31;484] CITY'S DECISION NOT TO
[000:12:32;251] RENEW THE COMPANY'S
[000:12:32;985] OPERATING LICENSE
[000:12:33;686] MEANS THE SINGLE
[000:12:34;386] MOTHER OF TWO COULD BE
