[000:06:06;132] SEARCH THERE, AN HONEST FIRE
[000:06:06;866] CHIEF.
[000:06:07;300] >> NO SURVIVOR HAS BEEN FOUND
[000:06:08;201] RECENTLY, IN THE LAST FEW HOURS.
[000:06:12;739] >> Reporter: BUT FOR THAT
[000:06:13;873] TEACHER WHOSE PRAYER WAS
[000:06:16;275] ANSWERED, TONIGHT A PRAYER FOR
[000:06:17;009] THE TEACHERS AT THE OTHER
[000:06:19;412] SCHOOL.
[000:06:19;846] >> THE TEACHERS AT PLAZA TOWERS
[000:06:22;648] DIDN'T HAVE THAT BLESSING.
[000:06:25;752] AND I CAN'T EVEN IMAGINE NOT
[000:06:28;855] BEING ABLE TO GIVE THOSE KIDS
[000:06:32;058] BACK TO THEIR PARENTS THAT
[000:06:32;792] BROUGHT THEM TO ME THAT MORNING.
[000:06:34;761] >> Reporter: TONIGHT THAT
[000:06:35;595] TEACHER THINKING ABOUT ALL THOSE
[000:06:36;662] OTHER TEACHERS AT THE OTHER
[000:06:37;330] SCHOOL.
[000:06:38;231] AND WE LEARNED FROM THOSE TWO
[000:06:39;332] TEACHERS EARLIER TODAY, DIANE,
[000:06:40;366] THAT THERE WERE NO SAFE ROOMS IN
[000:06:42;001] EITHER OF THOSE SCHOOLS.
[000:06:43;569] WHEN AUTHORITIES WERE ASKED
[000:06:44;637] ABOUT THAT LATE TODAY, THEY
[000:06:45;705] ACKNOWLEDGED THAT THERE SIMPLY
[000:06:46;739] ISN'T THE FUNDING TO PUT SAFE
[000:06:47;807] ROOMS IN EVERY SCHOOL.
[000:06:50;443] ACKNOWLEDGING THOSE TWO SCHOOLS
[000:06:51;511] WERE AMONG THOSE THAT WERE NOT
[000:06:53;112] FUNDED.
[000:06:53;646] A LOT OF QUESTIONS TO COME ON
[000:06:54;380] THAT.
[000:06:57;383] >> YOU BET A LOT OF QUESTIONS
[000:06:58;117] WILL BE ASKED.
[000:06:58;684] DAVID, WE WERE TALKING ABOUT THE
[000:06:59;552] FACT SO MANY PEOPLE VIDEOTAPED
[000:07:01;053] WHAT WAS HAPPENING AS THE STORM
[000:07:02;121] WAS GOING OVERHEAD.
[000:07:03;189] YOU MET WITH ONE OF THEM?
[000:07:06;392] >> Reporter: THE EXTRAORDINARY
[000:07:07;460] TAPE, THAT HUSBAND WHO WATCHED
