[000:10:12;612] THE MAYOR SAYS UP TO 45 PEOPLE
[000:10:13;646] ARE STILL MISSING AS PEOPLE
[000:10:14;680] SEARCH THE RUBBLE FOR SURVIVORS.
[000:10:15;748] LATE TODAY AUTHORITIES RELEASED
[000:10:17;350] THE NAME OF THE FIRST CASUALTY
[000:10:18;417] IN THIS EXPLOSION.
[000:10:20;553] CAPTAIN KENNY HARRIS, WHO
[000:10:22;221] ACTUALLY WORKED FOR THE DALLAS
[000:10:27;059] FIRE DEPARTMENT, BUT LIVED IN
[000:10:28;661] WEST, RESPONDED TO THE CALL.
[000:10:31;230] TONIGHT THEY'RE HAILING HIM AS A
[000:10:31;964] HERO.
[000:10:32;598] DIANE?
[000:10:33;633] >> AGAIN, STEVE, THANK YOU.
[000:10:35;234] AND AS YOU SAID, THEY'VE SAID
[000:10:36;268] IT'S STILL TOO EARLY TO COME UP
[000:10:38;404] WITH ANY CAUSE OR ANY MOTIVE IN
[000:10:39;472] WHAT HAPPENED.
[000:10:42;675] WHAT WE DO KNOW IS THAT THE
[000:10:44;243] LITTLE TEXAS TOWN IS A KIND OF
[000:10:45;311] TEXAS VERSION OF A NORMAN
[000:10:46;379] ROCKWELL PAINTING.
[000:10:47;947] JUST A FEW THOUSAND PEOPLE, AS
[000:10:49;015] YOU HEARD.
[000:10:50;082] AND CECILIA VEGA SPENT THE DAY
[000:10:51;651] WITH PEOPLE WHO TOLD HER EVERY
[000:10:53;252] RESCUER, EVERY PERSON RESCUED,
[000:10:54;854] WAS SOMEONE YOU KNOW.
[000:10:58;557] >> Reporter: SHATTERED AND
[000:10:59;258] BROKEN.
[000:11:00;192] >> OH, MY GOD.
[000:11:01;794] >> A WAR ZONE.
[000:11:03;429] EVERY WINDOW IS OUT.
[000:11:05;531] AND THE HOUSE, THE WHOLE
[000:11:07;133] CEILING, IT LOOKS LIKE IT COME
[000:11:13;005] OFF THE FOUNDATION AND SET BACK
[000:11:15;074] DOWN.
[000:11:15;508] THE BRICKS ARE ALL OFF THE
[000:11:16;242] HOUSES.
[000:11:16;676] >> Reporter: MIKE MALER BARELY
[000:11:17;443] MADE IT OUT ALIVE.
[000:11:18;177] HIS FAMILY'S BRICK HOUSE, IT'S
[000:11:18;978] COMPLETELY GONE.
[000:11:19;745] JUST LIKE SO MANY OF HIS
[000:11:20;413] NEIGHBORS.
[000:11:21;347] >> I HAVE RELATIVES JUST DOWN
[000:11:22;048] THE ROAD AND YOU CAN'T GET IN
[000:11:22;915] TOUCH WITH THEM.
[000:11:23;983] IF YOU DO, THE CELLPHONE IS OUT.
[000:11:25;584] AND I WANT TO GET IN TOUCH WITH
[000:11:27;186] THEM, SO THAT'S WHY I'M HERE.
[000:11:28;254] JUST TO SEE IF THEY'RE EVEN
[000:11:28;954] ALIVE.
[000:11:29;822] >> Reporter: IN A PLACE WHERE
[000:11:31;457] EVERYONE KNOWS EVERYONE ELSE,
